               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063188,            0.023048,            0.035315,             0.72213,             0.50335,             0.55959,             0.33228,            0.041204,           0.0076705,            0.018571,            0.070046,           0.0033283,           0.0033283
                   1,            0.044911,            0.019649,            0.018554,              0.6916,             0.57995,             0.65741,             0.37033,            0.037337,           0.0073498,            0.013289,            0.039914,           0.0065297,           0.0065297
                   2,            0.042413,            0.019728,             0.01717,             0.55023,              0.4384,             0.47869,             0.25586,             0.04023,            0.008813,            0.019133,           0.0096499,           0.0095991,           0.0095991
                   3,            0.041598,            0.020143,            0.018467,              0.7174,              0.5643,             0.64546,             0.37741,            0.038161,            0.007912,            0.016035,            0.009406,            0.009406,            0.009406
                   4,            0.039621,            0.019987,            0.016276,             0.61461,             0.59125,             0.60656,              0.3569,            0.037697,           0.0082328,            0.014651,            0.009406,            0.009406,            0.009406
                   5,            0.037725,            0.019669,             0.01528,             0.71427,             0.66826,             0.73016,             0.45547,            0.035165,           0.0071564,           0.0089061,            0.009208,            0.009208,            0.009208
                   6,             0.03662,            0.019045,            0.014292,              0.7274,              0.6788,             0.72867,             0.45782,            0.033886,           0.0071961,           0.0079198,             0.00901,             0.00901,             0.00901
                   7,             0.03515,            0.018529,            0.013034,             0.76872,             0.67344,             0.75682,             0.47601,            0.034951,            0.007039,           0.0067046,            0.008812,            0.008812,            0.008812
                   8,            0.034822,            0.018412,            0.012093,             0.75973,             0.70059,             0.75699,             0.46598,            0.033445,           0.0071268,           0.0077746,            0.008614,            0.008614,            0.008614
                   9,             0.03396,            0.018089,            0.011104,             0.80468,             0.70587,             0.78786,             0.50475,             0.03201,           0.0068638,           0.0057982,            0.008416,            0.008416,            0.008416
                  10,            0.033639,            0.018189,            0.011168,             0.79761,             0.71902,             0.77713,             0.49279,            0.032355,           0.0067765,           0.0072434,            0.008218,            0.008218,            0.008218
                  11,            0.032672,            0.017891,            0.010581,             0.77539,             0.73026,             0.80231,             0.52323,            0.031996,           0.0067439,             0.00577,             0.00802,             0.00802,             0.00802
                  12,             0.03241,            0.017626,           0.0099793,             0.79194,             0.74991,             0.81537,             0.53292,            0.031058,           0.0066448,           0.0047977,            0.007822,            0.007822,            0.007822
                  13,            0.032218,            0.017416,           0.0099993,             0.80614,             0.71325,             0.80373,             0.50784,            0.031983,           0.0067043,           0.0062793,            0.007624,            0.007624,            0.007624
                  14,            0.031956,            0.017574,           0.0095529,             0.78574,             0.75348,              0.8124,             0.52542,            0.031712,           0.0065577,            0.004939,            0.007426,            0.007426,            0.007426
                  15,            0.031623,            0.017146,           0.0093608,             0.79425,             0.75387,             0.81838,             0.53991,            0.030546,           0.0065218,           0.0048011,            0.007228,            0.007228,            0.007228
                  16,            0.031214,            0.017178,           0.0090279,              0.7936,             0.76843,             0.81997,             0.54475,             0.03034,           0.0064363,           0.0056517,             0.00703,             0.00703,             0.00703
